x,y
-14.472717,-0.6233353
-1.0812681,2.4134212
10.357631,-4.8443894
10.566106,1.0300972
-2.9687986,-5.6072865
-5.376384,2.0760243
1.3595111,1.8412263
7.1168246,2.0952053
1.1833359,-2.418389
-0.31482723,6.863171
11.904548,-5.746527
-12.089883,1.8433751
-3.8239794,2.5855825
3.6138728,5.4623756
-14.107531,-5.293576
-13.185441,-4.3706856
-8.795009,-0.48292202
-6.16134,5.789223
11.32944,-4.9606767
5.415555,1.2075051
0.44926342,-2.3903878
9.781589,-5.6210985
-4.994865,10.001099
-7.307634,7.3104086
-4.897839,13.055315
-13.768278,-1.0709718
-10.412647,-7.595268
5.3825006,10.853157
10.440146,1.317918
-10.751181,-3.6653075
-10.088746,-6.6878886
7.9598794,6.055152
-3.0769753,-5.6653333
-4.8432646,-3.1587963
-4.6893206,11.883618
-9.219979,9.919642
11.055616,3.3193061
13.885663,-6.6989446
10.627116,-2.1496618
-10.900242,2.0921857
12.207973,-5.8105855
6.1392508,2.7853136
6.870879,1.9100081
9.844032,-0.64604366
10.433755,4.772163
4.25228,8.016134
9.270447,-3.5236757
9.2357435,-6.4474053
6.66076,10.13592
-10.043671,-2.0319607
-1.5606033,-1.0989983
7.693824,-1.04998
-12.995197,-4.1696234
-3.6649992,2.607347
9.447889,-6.977756
9.547134,-5.241739
-5.76072,1.6693158
-2.065041,0.7368871
-16.232859,-6.019972
11.5491,-8.186173
-7.6750503,3.0239651
-14.563361,-7.451561
10.584483,-1.9789597
6.0590563,0.59097
-14.666932,-5.0413523
-14.572955,-4.5726476
2.0631762,-3.731845
10.483913,5.716483
3.013486,-2.8141356
2.0760717,7.565959
12.315128,-2.2731793
-4.8709393,7.1557965
11.777914,-2.2693973
11.832071,-6.270026
12.021968,-3.5554388
1.4084209,-6.5052056
10.449416,2.1106532
-3.0427475,6.8956738
10.344004,-4.94564
-8.653138,9.104205
-6.0806894,12.690697
4.8535023,4.258982
-11.748768,-8.111593
-5.4849105,2.797599
-1.0660772,-1.2582313
-16.396732,-4.105778
5.25923,-1.9838825
-0.04681743,-5.9172463
-13.750992,-5.1605105
13.75688,-6.720479
-13.596157,-3.6508489
5.670691,10.749434
-11.666897,-8.029171
-6.758223,4.464761
11.998325,-5.157096
-7.050889,4.200559
-11.886314,-5.184272
10.781618,-2.8963718
-8.675599,3.9773133
-4.943288,13.044956
9.345551,1.0875959
-13.083647,-3.6470017
1.0343854,-0.93372756
-2.0864992,-2.50996
-14.215062,-4.678766
-2.5841086,2.6975808
-1.0577841,2.233039
7.033882,2.3350687
7.507149,3.657873
-3.8065405,0.8436488
-5.476398,-5.3828535
9.16531,2.750287
-14.57776,-3.0345223
-7.0309825,-3.8500583
4.507732,1.6564963
-9.656083,-0.21598323
-7.5376487,5.4425855
-8.46547,-4.5149455
-14.5763035,-3.0338767
5.6882467,4.7740436
5.032568,1.8811655
-0.7004287,-3.8400128
-4.1769543,-5.722713
7.56564,3.8312483
-2.0122137,9.665694
-1.5643529,-5.4241524
6.893634,0.48288164
-0.7005384,-3.8397732
-2.7775903,-3.1333284
-7.0496054,8.172033
3.1193514,2.4900823
7.714023,0.81562847
7.2848206,-0.24416307
1.0872393,8.060957
10.61691,-7.0007343
-4.104068,7.592142
11.305769,-7.9797244
-15.157231,-3.8867064
-10.759701,6.8561983
1.2933617,-1.3962328
6.6304755,-0.9639643
2.9392836,3.4384325
7.9179516,1.4759586
0.16827829,-4.338436
-5.4803934,6.7245564
-2.7269452,-2.4378736
-10.750824,6.848157
8.765552,7.482062
-4.0309415,8.17419
-1.7993857,6.700196
-3.975859,-0.71733457
-2.160689,0.19049689
-4.291021,-0.8487936
-3.766098,-2.3292606
4.279797,-1.0932732
4.3956227,4.5501304
-2.4051628,0.47501624
-1.148906,8.215333
2.4598982,-0.74538654
6.775374,-1.990749
0.26918104,3.3836918
-6.9604073,9.052436
0.47769588,10.327537
-5.4139147,-1.204149
-4.551118,11.057745
-3.8093572,6.1486382
2.7570806,5.4138646
-3.0405025,-3.2179468
1.4973028,7.2435455
-13.094376,-1.5504171
6.9191356,10.019231
-12.388494,-0.495539
5.2168713,6.277107
-5.302354,-2.0993142
-3.7942815,4.4139757
-5.129526,5.2431083
-5.012678,-1.1769112
1.522418,5.392648
-5.9889765,8.068114
4.26344,0.6523001
-2.6765475,4.9101105
-8.999494,-1.1880938
-5.331003,4.708354
-1.3803836,5.6411343
-13.3447695,-2.0369287
3.3456795,1.3873792
1.5657494,-2.2053826
-13.722428,-3.860638
-4.4297595,5.5710783
-15.944179,-2.5310962
0.4107083,1.882892
-5.927367,-0.05818484
-1.407255,3.0768487
1.4251474,5.219477
-0.80877566,6.517185
-7.4125896,0.9816504
0.147277,5.163623
-3.8091059,6.148717
-7.6909237,2.0504887
-1.2868335,0.20993973
