x,y
9.850922,11.498862
0.58679456,0.7726401
-11.942179,-2.128472
-4.8588424,3.1541998
2.3825138,3.410364
4.942873,1.1957719
-1.1541216,2.2193024
-6.7667694,-0.21998636
-3.2997804,-3.171442
0.6727773,6.006552
-13.599201,-1.0390005
4.1147695,-11.710955
3.340724,0.7076934
9.119885,-1.8904203
6.027022,10.30882
7.4577384,9.914287
7.8520255,4.697511
4.806171,-8.537723
-12.615444,-1.2865801
-5.007263,1.1642312
-2.5699604,-2.960864
-12.177753,-2.9051912
7.7962685,1.4200358
5.054433,-4.344958
10.331973,2.1714816
9.109218,11.960657
11.689945,7.4947796
-0.59439385,9.750224
-4.8824983,3.376153
1.8863001,-10.256272
1.1428457,-10.919351
12.302066,-0.6034277
2.489484,3.4087512
-2.836833,-7.1457396
9.371486,1.6012778
-1.15821,4.058728
-8.612292,3.7278357
-15.577546,-0.63364285
-10.76571,0.37102854
3.835476,-10.804125
-13.602289,-0.71628207
-5.811922,-0.57913417
-6.9476223,-0.07792339
-9.792758,1.7880534
-8.026285,5.11276
-5.709729,-4.3938866
-10.576909,-1.3088675
-12.5114,-3.8899865
-2.2489324,9.162506
5.6512957,5.2199187
2.3815472,-0.9351492
-8.203629,1.3752505
7.8263855,9.686547
3.2165608,0.56707853
-12.965176,-3.832099
-11.6877775,-2.9144833
5.591237,1.5368838
2.6718063,-3.1164134
6.7630677,7.942815
-15.051692,-3.0060785
2.49403,-7.3382883
0.8191935,10.224767
-10.661532,0.50483763
-6.0386367,1.4903662
6.258736,10.10734
6.145905,9.51916
-4.6088276,-3.4592855
-7.9532895,5.895565
-4.7443466,-5.4957247
10.314017,-4.913138
-11.912609,1.5807652
6.498354,-7.4287868
-11.563373,1.2595195
-13.971422,-1.4783101
-12.537925,0.47293362
-0.05709666,2.3731384
-4.74287,4.153871
6.207964,-5.9840307
-12.013947,-2.1543415
5.456582,-2.4336598
9.321497,3.2337127
10.313746,-2.7895741
11.113857,8.560495
4.8430567,0.7868708
2.5812414,-0.7699958
6.488183,12.331244
-7.078635,3.2208915
1.2301141,2.2810037
5.6575546,10.076298
-15.526885,-0.7931407
7.1335044,9.26288
-1.1201799,9.571504
11.133589,8.498759
3.0097206,-8.465272
-13.124279,-1.1998403
3.0385242,-8.055147
8.462788,8.09492
-11.315848,-0.08684804
1.2229732,-7.919009
10.296201,2.190764
-6.1190553,3.6011112
7.509046,9.278262
-3.2935236,-4.6454
-1.0323728,-3.5459998
5.9480486,9.516972
2.447479,1.084265
0.8520398,0.3904562
-7.361337,-0.6534281
-7.839157,-1.8557585
0.31535584,-5.5361495
4.659343,3.329414
-5.8693433,5.2786894
7.3657565,10.943608
2.9997683,6.1651263
-4.1186914,0.6781676
8.231835,3.7058544
3.9896066,-8.929868
4.0161204,8.640948
7.3655643,10.943554
11.161408,-3.7943184
-4.57295,0.6351165
-1.7089067,-4.695016
3.4585361,3.668327
-7.903153,-2.0066893
1.9955404,-4.0584836
1.0607382,4.163109
-8.027427,0.13457465
-1.708983,-4.694879
-0.19696578,-3.5305045
8.076503,-6.874264
5.5095267,-1.236959
-7.1325035,1.2224247
-7.531324,1.4791542
10.153445,-5.895667
-13.71348,-2.8811576
6.762043,-8.658524
-14.787338,-3.0542338
6.4440565,11.112334
9.615096,-10.343374
-3.3331354,-3.9700456
-7.4327164,2.2204785
6.173931,-1.90552
-6.181649,0.5147359
-1.5326113,-5.8870664
5.76359,-8.63912
-0.6021871,-3.1852207
9.615991,-10.326766
-2.7720146,5.773554
6.906281,-9.179021
6.243691,-4.8110275
1.8230479,-2.3375905
2.9480886,-2.5496833
1.595206,-2.3771746
-0.85325027,-2.5601218
-2.752975,2.7159595
10.266673,-2.6128452
3.4337704,-2.9227304
6.6926823,-3.4254177
-3.7424867,-1.9014442
-5.634141,-2.1542277
-0.9469732,0.27003172
8.894482,-7.3535333
8.343437,-1.2741922
0.8805897,-1.7090828
8.606081,1.3541129
5.4102864,-6.2177086
8.860451,-2.800286
0.26581556,-3.5362566
9.696171,-4.8964806
8.515449,11.676604
-2.5022907,9.0887375
8.826149,13.130861
12.251866,-3.7644486
-0.26713952,-1.8169281
4.0629406,-5.628083
4.6226215,-6.8972716
0.7343934,-1.958833
8.1964245,-3.6408741
7.617061,-7.067866
-3.5753214,1.445914
4.7156663,-4.575379
7.181203,4.2526054
4.0958066,-6.9158397
7.230523,-5.3549275
8.922401,10.99735
-3.1300483,0.50809705
-3.3788247,-3.0887637
7.197748,9.805957
5.4651246,-7.263353
5.2244067,11.8529625
-1.0768744,1.0768598
3.1581595,-4.803937
0.46501735,0.40744737
7.832124,-3.5638883
6.5727625,-4.3683395
2.1634698,-5.680783
8.140337,-5.0126433
5.4108777,-6.2176313
2.240018,-6.3349357
3.5602882,-1.9663794
