x,y
-5.9620204,11.394992
-7.7363496,1.7870347
5.1854672,-15.394166
2.0569258,-7.385929
6.197792,1.6789606
-2.407507,7.8487997
3.8895423,-3.238998
3.0886352,-9.111305
-4.242868,-6.4525127
-1.3252997,-0.40957308
6.9990153,-15.116252
-2.0185685,16.760141
-6.585062,5.072956
-0.31614903,-4.9552865
-3.5128956,14.09741
-5.1197476,14.005682
3.494651,7.1135654
-4.1311603,4.822208
6.2754054,-14.587104
4.1529417,-7.223463
-4.4495454,-5.9923735
5.58581,-16.249054
-0.0630415,8.159256
-4.052642,-0.43544805
2.579555,10.081121
-5.600458,12.069483
0.33993357,13.976189
-7.9369345,8.422987
1.7999738,-7.3686714
-1.7275398,11.998335
-0.38319874,12.988716
6.530393,-3.289664
6.1945806,1.7745173
4.137327,2.6001205
1.5110211,9.2910595
2.871856,-2.6395123
-1.6043329,-9.3710165
9.310295,-14.19877
5.299433,-12.405455
-4.575294,6.728919
7.1688166,-15.144138
4.2194963,-8.801152
2.8045025,-9.187043
6.0214086,-9.715197
-2.5787244,-10.271646
-3.2052855,-7.8968954
7.0750866,-13.047117
5.642257,-17.257734
8.988865,-5.168637
-1.868083,10.161025
0.46523306,2.8189652
1.4118538,-11.271319
-4.6135364,14.2217655
-6.567807,4.9479094
6.2378235,-17.407148
4.924275,-16.23417
-2.9747083,8.329021
1.4956768,0.26654375
-3.9429882,17.353373
8.782921,-16.515547
-0.84956074,5.8051248
-7.9266815,9.443129
5.3339243,-12.229701
5.2108793,-7.907475
-3.6229403,15.208159
-3.8214662,14.922364
-5.7878304,-6.6236887
-3.3189862,-10.655595
-4.7450037,-7.909218
-2.6050296,-3.1805332
3.7671108,-13.418796
-4.5424323,2.7544062
4.095585,-13.103034
7.350449,-15.486879
4.50272,-14.245565
-9.546309,3.1712096
1.0814403,-7.3554697
-3.7609956,1.6442463
5.3822155,-15.452388
2.025991,-2.8068888
2.7456343,8.975511
0.7802102,-6.276525
-0.0845817,15.2129345
-2.4094095,7.272138
0.19566625,2.7706895
-5.367373,16.784494
-0.4721872,-10.615044
-0.6147276,1.6565485
-3.4720612,14.350111
9.1895485,-14.309597
-4.739992,14.586849
8.98953,-3.9675326
-0.094139,15.09698
-2.3612378,5.2952905
7.0103536,-14.44823
-2.117192,5.374998
-7.0477524,14.003421
5.472549,-13.045117
-1.0262702,4.6431828
2.613197,9.998422
1.0795954,-8.599009
-5.310717,14.274174
-3.5824738,-5.014266
3.1548839,0.12654223
-3.2423086,14.811751
-7.8753366,4.3316574
-7.379744,1.6475401
3.1902094,-9.701717
4.292821,-10.370042
0.21516545,-1.3618747
6.711005,4.239176
-0.053884357,-8.698956
-5.3700967,15.301086
4.640784,4.798287
3.3550737,-6.268514
2.4858816,7.852098
-3.5753152,5.5316095
-7.7521234,12.254976
-5.3676353,15.297824
5.584039,-7.456024
3.8292296,-6.741454
-5.2859077,-3.7885172
6.222933,2.9226806
4.4084635,-10.44974
1.7809933,-0.76185745
7.901302,1.0650411
2.5268958,-10.577324
-5.2859087,-3.7885141
4.147837,0.36874703
-4.9565883,-0.4676537
2.2775974,-4.5061455
1.7074007,-9.5252905
1.4204776,-10.4543915
-3.3348634,-2.4451442
7.110765,-16.74701
-5.3863974,2.717247
8.4686575,-16.614267
-4.4233584,15.724603
-9.110302,-3.328858
-3.3565242,-5.6659427
0.6371054,-10.697727
1.4934434,-4.1436224
3.3168044,-8.362273
-6.3185315,-3.2424874
-4.918088,4.098371
3.484016,0.599036
-9.090823,-3.321468
6.8099804,-1.6046911
-5.672146,2.9758718
-2.469604,0.35459614
2.0728505,2.5912175
1.426494,0.8859649
2.2149482,2.8373969
3.5268931,1.7058551
-1.5844313,-12.539362
0.27695957,-5.835791
1.2108538,0.8492228
-2.4539511,-1.0685287
-1.8860211,-6.5712495
0.6173504,-11.8333
-8.975107,0.3898953
-5.6640267,-0.8869106
-1.4460342,-4.7152877
2.498038,4.127202
0.840986,8.697361
-3.3212857,2.45902
-0.17870569,-4.023731
4.249538,0.2535015
-2.52306,-2.7233386
-4.7895846,11.981126
9.033177,-5.3841796
-4.52816,10.66854
5.882169,-5.8248997
3.4277916,3.6049736
-1.676128,2.592984
-2.9850514,3.9197295
2.3811717,3.6252427
-0.42089984,-2.8820717
-5.2172637,0.4717673
4.2463446,-5.8012934
-1.62977,1.2262561
2.781901,6.6965694
-2.3767996,3.7378993
-3.2322426,0.23589396
-4.534946,12.430915
2.8670483,-5.270191
-3.8196018,-6.525513
-4.523243,13.852509
-3.5973828,3.330021
-6.6084986,15.834805
4.473011,-2.0418115
1.355926,4.049593
-7.771796,2.3184216
-0.31557482,-2.8067877
-2.0371668,-0.434115
0.9282203,5.0929627
-1.3501875,-2.030198
-3.321278,2.458988
0.21183684,5.2604265
0.55819416,1.0075519
