x,y
2.7222133,-4.3152504
3.4053173,7.340924
-10.992665,-4.6892843
-7.429396,-0.82226974
0.66006076,-1.1926372
5.791908,1.2831414
1.6218189,6.818129
-7.944791,0.25535348
-3.712385,-5.5202203
6.431656,7.7410026
-11.804919,-5.9228063
9.095826,0.30687046
5.224676,7.6340933
-6.436562,4.4859285
12.650413,3.19928
14.019074,2.451447
0.73893195,-10.244158
7.4699187,5.0660076
-11.848896,-5.4207587
-6.637632,-0.94512576
-3.2745664,-6.092535
-12.238459,-4.368378
-1.3713573,-8.665515
-2.6671789,4.785421
-0.7712549,-8.821208
7.5989437,-0.67725855
11.476051,5.8436975
-0.807106,-10.855252
-7.391309,-1.6725196
10.794814,5.3415318
11.261095,4.820618
-6.63824,-5.225158
0.79229796,-0.9173894
-4.2872114,-3.7616634
-1.6040413,-9.904492
1.0100126,-3.4536316
-6.328833,-4.554317
-10.781688,-7.9351707
-11.900333,-1.2934489
8.913975,4.8651485
8.031229,5.1673093
-7.19843,0.8752056
-7.86137,0.1616295
-11.878034,-0.3452308
0.593892,-3.6702178
-6.03102,-2.9902272
-11.988261,-1.9601356
-9.949093,-8.681099
-0.44516796,-10.232129
10.426813,4.944601
5.9079,0.23809576
-6.4064713,-3.7611072
13.912967,2.3030496
5.105245,7.6920233
-9.721808,-3.441367
-12.442105,-3.7930708
7.064913,0.25078303
-2.323334,3.967825
10.757335,2.5548396
-11.352356,-7.0466785
4.811313,2.971624
-0.5603053,-11.4339905
-11.799688,-0.99137133
-9.43889,-0.44722384
12.547535,2.7261393
12.472276,2.576523
-4.436414,-6.025271
0.45873448,-6.593962
-5.7550287,-3.6987956
-8.508567,4.533078
-12.739281,-0.7727268
6.2158303,3.8233635
-12.46373,-1.646449
-11.573659,-6.270581
-13.386381,-1.1828127
6.069307,8.790034
-7.7691274,-1.558404
3.9826326,8.839007
-11.723174,-5.0314946
0.74684215,-0.26189652
0.50536174,-9.132107
-8.435156,2.6169124
10.766133,2.7414355
5.339897,7.3130536
-1.5579389,-7.898448
3.2525048,-4.7383504
-0.14154555,-3.9641433
1.3761067,-2.7745297
13.399403,3.1901002
-11.468946,-7.4702644
13.398757,2.0603526
0.12352904,-7.389915
13.262258,4.006452
4.9840956,4.5753045
-12.198775,-5.5848002
6.7191606,7.4175797
-2.4957817,-9.163429
-11.263999,-1.2520947
3.8401897,1.9159827
-1.154766,-10.352135
-7.5173116,-2.0716343
14.077731,1.8825814
-4.362209,2.7106853
-2.8318048,-3.4796295
13.074998,3.0704823
6.764123,8.658522
-2.0147936,2.6335843
-8.426181,0.34521604
-5.265005,3.150624
1.1142182,1.5916336
2.5888019,6.370986
1.1393857,-4.3577204
13.447875,1.2831777
2.326113,-2.4992814
-4.940332,-1.3102391
0.78208435,-8.69426
6.705876,8.241437
3.1317565,-3.5188234
13.726382,1.2342637
-9.457622,3.1092174
-6.6632795,-6.488889
-3.1664057,1.9737943
1.3473294,-1.2036483
-5.278457,3.44075
-1.1674743,2.9670851
1.5688074,-4.1711307
-4.7012944,-4.9870176
-3.1664054,1.9737943
-0.24559362,-3.5304418
-3.3984592,5.265052
-0.9202592,-1.6262059
-6.66665,-1.7481519
-6.1330547,-1.8810728
1.6525139,6.74909
-9.981637,-4.184385
0.9875923,4.6114564
-9.897495,-5.0241666
12.726262,1.538492
-4.606616,4.879775
-4.140931,-2.9255137
-6.686414,-2.2787201
-7.328562,2.0014899
-6.273482,-0.7759794
4.3228927,9.633549
6.822572,3.462141
-2.333234,-3.2101836
-4.545067,4.943527
-7.5377607,-5.589216
0.9566687,5.111261
-2.8431187,4.103547
6.3219314,-0.779611
-1.7635897,1.8557934
0.64287406,-2.2810032
-3.4623587,-3.2729225
0.64197487,7.9767456
-7.8673277,2.5055687
-1.4658003,3.5646718
-0.27928165,-7.7916236
-4.455622,-3.3249364
-6.6274714,-3.1516054
4.475514,9.845573
-3.8592114,4.4975977
-2.4056232,-10.791929
-0.22293143,-2.5993001
-1.0509396,-8.3664465
3.2718606,4.5173936
-6.5810595,4.4602757
0.013850787,-1.230363
-8.330766,3.986121
12.52316,0.7374338
-0.18350282,-11.123084
5.895385,-1.7089462
-0.42302945,8.07128
-1.9183269,-3.1552522
1.9460188,1.4690614
4.3476787,5.3338466
0.9196122,-2.9793386
1.0519202,6.4504666
2.651735,3.1162765
-0.9705582,-0.43021742
1.5387719,0.40723342
1.8994724,-3.4452515
4.665026,5.7756867
2.1589608,2.8663635
12.803604,0.41444674
-1.4980766,-1.5330108
-3.4335918,-2.1225522
13.292445,2.0226798
5.5053205,3.5132172
8.859677,0.10596468
1.8437102,7.591826
2.020227,-0.58703005
4.2220426,8.988619
0.19812094,0.9868836
0.28237954,1.7300745
6.6308827,-1.0463941
1.199205,3.0608397
3.271862,4.517435
3.977965,2.0509372
5.5619607,4.9478693
