x,y
-7.107059,1.844706
-6.2769456,1.2292403
1.2779212,-12.246224
-0.23869301,-5.608358
1.6958592,-2.028786
-1.5654078,5.7978187
-3.2463248,0.6205348
6.1164465,-5.7547455
-1.4790816,-5.0821385
3.430602,0.16234899
0.9444067,-12.952015
-2.612314,11.599287
-1.4511561,5.2341766
7.3241286,-4.720914
-8.943527,5.89402
-7.536939,8.7386
-6.232633,-6.7943363
1.387739,10.26725
-0.17421329,-12.4494705
0.36680356,-6.5680137
-0.79571986,-4.416638
-0.97578645,-13.414808
-1.1188325,5.9130473
7.208763,-2.699241
-1.2867674,3.9636202
-3.3722591,4.559823
-10.537408,5.8049045
-7.6650357,0.5858126
-1.8243761,-6.284826
-2.3824115,10.614009
-10.302584,5.492234
-4.64059,-7.5843854
2.243791,-1.4783823
-4.5072002,-5.6910157
0.08490397,7.134773
-1.504519,1.799077
-4.500747,-6.761052
-0.8174606,12.149834
-2.3541021,-13.222667
-1.3780464,10.7069645
-0.7315502,12.733876
5.864022,-4.7719455
5.3192534,-5.924981
-2.4035807,-14.047008
-3.8216145,0.4824201
-3.9962883,-6.265455
-2.8119218,-12.039244
-0.9813438,-12.471308
-4.8568835,-6.7664876
-9.932834,4.488306
-3.5686355,2.8650262
-4.2105713,-7.2384644
-7.835486,8.41014
-1.5359389,4.1910295
2.2939522,-11.8508415
-0.70293194,-12.802768
-2.5407572,4.410602
4.6053753,-1.9561803
-5.9384694,10.020236
-2.417216,-11.444972
-0.012277923,10.113921
-8.11767,1.6341299
-2.2293692,-13.654639
5.27805,-5.6552176
-9.036502,6.4445267
-9.173301,6.1793776
-5.377947,-6.443731
-6.713527,0.21333355
-6.0412636,0.23430604
3.0590425,2.1384122
-2.9738948,-13.308505
3.0482621,8.099685
-3.0098047,-12.526503
1.110097,-12.787967
-1.8515896,-13.258356
-6.2983737,-1.6445005
-2.3787944,-6.335368
-0.9888674,2.4606698
0.04217999,-12.771298
2.4436846,0.76910925
-1.7707264,11.103412
6.68616,-4.891792
-6.4264116,9.92341
-1.8638995,5.1262994
-4.620049,1.9309903
-4.7717156,4.7737904
-5.863188,-2.8945503
-4.989768,0.9624708
-8.944007,6.416073
-0.83328867,12.334208
-7.395175,8.316897
-7.147986,0.040172804
-8.497815,9.49467
0.8901267,10.225429
-1.2743181,-11.877956
0.435611,10.359559
-2.765148,10.70335
-2.454576,-12.527103
0.7421491,10.882331
6.4288344,-2.9486217
-3.3599315,-6.870104
-7.331185,8.535335
5.395699,-3.6869242
0.7914787,-4.102014
-8.944159,5.8934593
5.832432,-2.6663191
-0.28031543,2.5861366
6.781651,-6.8667464
7.4120364,-6.2557063
6.910743,-3.246859
-7.096823,1.089136
-5.5579557,-3.71573
-7.793428,6.3094788
-5.4667187,0.37709066
0.61505604,-5.779831
-1.7623116,10.700333
0.90439093,10.748992
-5.001321,3.7719247
-7.793323,6.3093667
8.218104,-5.1321597
1.4535048,-5.9406047
4.6383247,-2.8373647
-6.6221275,1.1402676
7.6117215,-6.2749143
2.9688501,-0.97850853
-1.9477631,-0.008024266
6.8153925,-5.110602
4.6383605,-2.8367734
-1.6178173,-3.9542577
8.967431,-2.8561888
-0.94054925,-2.375954
-3.091505,-8.092479
-2.8224518,-7.425596
-1.9046617,1.7497933
1.9240539,-12.045871
3.4229817,5.544428
-2.1107202,-12.21585
-8.180732,5.062707
8.990641,-3.8728018
2.4866588,-4.1068993
-3.5490434,-7.267982
6.2721148,-4.0166306
-0.7370801,-7.2147956
-1.4656284,1.954654
2.383186,8.722158
1.2597632,-3.4571579
8.229413,-3.511923
-3.9672747,-5.7318816
3.0189486,4.5333524
2.5743809,1.4232277
-3.8439007,2.3129132
1.8451793,-1.1208285
-4.426137,1.4864341
0.6948062,-3.8817625
-4.114584,-0.016946146
6.9764986,-4.1739945
3.4134731,-0.377831
2.345047,1.1911727
0.08187559,-4.805504
-2.6229167,-6.231045
-2.2897322,1.5222963
4.0370603,-1.0805823
7.310979,-4.0073557
-3.8067913,2.5191247
-0.71174073,5.527657
1.5694132,3.365112
8.725316,-4.6655645
-0.43474004,-3.8441484
7.2425747,-3.2816763
-8.359272,3.4149184
-5.518629,-7.388559
-3.1140826,5.1143246
0.61776245,0.7095964
0.24899606,-2.2191036
3.6385496,0.8588003
1.7670211,8.823251
-4.1817737,1.0801517
3.2241454,2.4530594
3.671162,7.6633077
-0.08793935,-0.08870172
3.2215092,1.0744324
-8.193476,2.3686395
1.858607,10.030656
4.0155673,6.751862
-8.686149,3.807691
-0.6149425,-0.9217972
1.433976,-4.029592
-7.8357773,8.410862
2.8135524,9.263542
-4.5368314,4.975492
-1.2716122,1.0512931
0.5431349,2.834325
-2.2542675,2.6812208
3.610837,1.9218194
3.9984794,1.1749904
-0.8229622,4.7258635
3.0666847,4.4168143
1.5694114,3.3651476
0.43093863,9.037794
1.5649757,-0.9365087
