x,y
22.25931,0.47700867
2.5309029,35.919304
0.72421056,10.804126
-3.344332,38.21872
2.017108,41.31414
-3.1402621,37.12901
0.06689469,11.954479
2.017108,41.31414
-4.0811515,37.291664
1.5524435,11.041679
23.336672,6.054921
-14.426389,2.5401044
3.041977,11.371812
23.471445,7.5083013
2.6270297,41.51121
-3.8410063,36.95799
2.945401,10.088715
22.669542,2.8781586
0.023581907,12.192832
-2.6417725,38.070007
8.760648,14.829785
2.9446876,10.470563
-3.544139,37.53571
-28.46144,-24.086735
4.3710012,41.138275
2.520857,10.854968
3.356566,12.003727
4.2819147,10.204114
-3.578607,37.97089
1.9802692,10.03861
-1.5570238,39.283142
-1.8484553,38.320786
-2.1246796,39.254307
-0.79326034,39.63219
-19.011295,-1.7818751
-15.464417,2.3628452
-1.4941837,38.650536
4.449149,41.380116
0.2774795,10.393412
-1.3941803,38.863262
4.1956797,39.09156
2.8065782,41.61756
-3.2336345,37.64707
-0.434888,40.17896
-2.577349,37.69849
-3.5368972,37.15294
-1.4689394,38.68636
-2.087812,39.259686
-2.0578272,38.21784
4.021543,38.601677
2.9418368,41.50736
-2.6417725,38.070007
-2.6866226,38.69729
-1.9362483,38.303204
2.5669522,36.868523
0.20194496,9.829043
3.9496367,38.448162
-15.7947,1.5851309
-27.331589,-20.407427
-8.095029,6.2137804
-2.7053418,38.679783
-0.6330089,39.746254
-1.6517565,39.489956
-2.526912,38.82044
2.6736736,41.12572
12.926064,13.702642
-3.0000508,37.19977
1.1817974,10.332687
-2.9782116,37.21268
-26.515053,-17.246847
-26.870367,-19.725075
1.7514803,9.98038
-1.1001745,39.45896
-2.2509167,39.18669
-3.7875137,38.027374
-0.08722376,11.485471
0.84364206,10.440821
-1.9484468,38.83524
1.222376,40.88424
0.67545885,40.59445
-27.84279,-21.78505
-4.7808533,7.56334
3.610876,10.260235
-20.989607,-6.355971
0.86760217,40.804153
-18.840063,0.006765118
-4.0786657,37.57488
0.8648737,12.021192
0.83282274,40.715042
0.9478067,40.77224
15.475019,8.307519
-1.4573655,9.824127
10.803061,14.362273
-21.115673,-5.5902357
-3.741559,38.13606
16.362629,12.53293
0.4268949,40.469353
10.923047,14.34072
-21.026539,-7.1706595
2.9418368,41.50736
-7.3496475,12.954574
-9.298107,10.857038
-8.839786,11.681843
-22.735834,-8.253627
-22.74633,-10.5187025
-21.354166,-6.276458
-24.000454,-14.55115
-25.167082,-18.428196
-24.678616,-14.791545
-24.013134,-13.528646
-8.833861,10.096457
-18.524366,-0.92685324
-11.734381,2.7717252
-28.449074,-25.392054
-6.1296253,6.234327
-15.266541,3.3729582
-16.324211,2.2722855
-27.137018,-22.559504
-9.332238,10.876807
-25.421707,-18.026764
-26.170872,-19.419548
-6.7408175,13.256202
-21.243189,-4.9703093
-27.721926,-23.187817
-21.146667,-8.092529
-18.427284,0.14497678
-5.9986243,8.563654
-22.463219,-8.232849
-25.455774,-18.72992
-0.055623367,10.49317
-8.593988,11.844444
-19.423077,-2.5898182
-25.948154,-18.14946
-7.9073257,11.123898
-8.617178,11.49313
-23.704634,-12.511526
-12.556772,7.8776803
-5.8080735,7.6372643
-7.0402937,13.283125
-6.6209145,6.356306
-8.856276,10.124232
-25.714903,-20.392567
-24.660301,-15.783665
-12.090396,8.320148
-25.148993,-16.722694
-6.4066663,13.463644
-7.2971225,5.607974
-6.4917393,12.415865
-14.067966,1.8412116
-4.8166137,9.860997
-23.4227,-13.598732
-6.912637,8.355597
-2.3710384,10.443922
-11.548442,8.775297
-8.009063,12.335255
-9.338294,10.913947
-19.74083,-3.2712188
-26.325634,-20.626492
-6.0943346,6.4888186
1.279251,12.286232
-16.66529,1.7015946
-7.8333716,12.511293
-7.120408,13.208452
-27.347721,-22.856768
-5.184976,7.2527995
-6.360926,6.595541
-18.85442,-1.366254
-19.452066,-6.3990474
-8.873451,11.730014
-27.839256,-24.009052
-9.826901,10.1783
-23.347555,-15.841512
-11.655587,7.7696676
-5.9062743,11.951484
-24.695984,-14.349273
-18.111715,-0.9386465
-12.73179,7.714182
-28.579473,-25.14841
-10.827167,9.408538
-23.79833,-13.473918
-27.14433,-22.955744
-11.745928,8.62011
-8.325665,9.572462
-23.732763,-13.809112
-20.354937,-4.782643
-22.303106,-8.559681
-24.420414,-14.705555
-21.16329,-6.749319
4.2369847,39.307346
-15.943812,3.343242
1.0271336,9.835034
-8.382886,12.050123
-14.934637,5.481852
-12.973125,7.439071
-11.777608,7.9449015
-13.60923,6.901617
-8.477984,11.656688
-20.977554,-9.034711
-11.510817,8.7539215
-21.546146,-6.4142165
16.191145,-15.130524
9.697737,14.543874
21.390146,-2.9839997
12.413146,13.768154
21.749372,-2.4419966
15.117904,-16.519354
24.466148,6.9533067
21.102901,-4.684742
18.879292,-9.990683
17.233196,-13.337679
22.933155,6.7673454
19.58502,-8.599157
18.609327,-11.579009
23.754152,-0.047879353
21.561956,-4.0616555
17.635794,-12.628877
12.541958,13.735011
19.951649,-7.745317
