x,y
-12.119623,-6.794503
-10.6034975,-7.239915
-11.685527,-6.738308
-10.892932,-6.5723357
-12.002496,-7.0028863
-11.995701,-7.001401
-12.15667,-6.324011
-11.99715,-6.995264
-10.7518835,-6.56677
-11.463884,-6.0395403
-12.133055,-6.5827584
-11.654011,-7.3376355
-11.943071,-7.43467
-11.031205,-7.4610133
-11.421201,-7.3679843
-11.002572,-7.3925934
-12.071734,-7.6442146
-11.355117,-7.1473856
-10.830694,-6.7477355
-11.680962,-6.3507566
-11.681139,-6.3533816
-10.805749,-6.6241245
-11.683906,-6.352769
-11.504132,-6.284677
-11.353704,-6.227207
-10.75758,-6.5655155
-10.715115,-6.7265143
-10.926372,-7.039917
-11.012182,-7.2639756
-11.007144,-7.2639003
-12.345845,-6.917529
-10.916111,-7.0428042
-11.9062395,-6.4509277
-10.595188,-6.928575
