x,y
-2.0348148,-6.390183
-1.6646528,-7.2023077
-0.91225374,-6.3897705
-1.4125971,-6.628316
-0.88531965,-6.0183616
-0.8842078,-6.018545
-2.2865355,-5.9353337
-0.8860185,-6.0186396
-1.5045607,-7.33808
-1.2781372,-6.603226
-1.9994699,-6.48617
-0.80493844,-6.4601097
-1.1843904,-6.125747
-0.76087075,-6.980693
-1.981732,-6.6654935
-1.3964288,-7.6465783
-0.5777638,-6.226177
-0.85099494,-6.7045846
-1.1256248,-6.725268
-1.2649536,-6.0495186
-1.2654502,-6.0500975
-1.0333922,-7.32192
-1.2650553,-6.05466
-1.2453296,-6.1516457
-1.3720205,-6.23188
-1.499643,-7.3387194
-1.7763577,-6.688194
-1.7915046,-6.842199
-1.9122862,-6.7956114
-1.9140179,-6.7985826
-1.301402,-5.3876433
-1.7925103,-6.841999
-1.3989986,-5.9946327
-1.3950937,-7.156197
