x,y
-3.6369832,1.8831434
-2.5501275,2.4711747
-3.779473,2.3924313
-3.1711302,2.5761745
-4.032783,2.231021
-4.0320864,2.2323873
-3.4395783,1.7334871
-4.0327053,2.2291126
-2.90403,2.7834458
-3.170555,1.9994789
-3.3955653,1.8234543
-3.816256,2.7894433
-4.146637,2.844712
-3.3235302,3.1279035
-3.1242151,2.1843119
-2.6155403,2.426781
-4.207238,3.0925882
-3.3602846,2.6083236
-3.3045518,3.236271
-3.8599253,2.4519145
-3.859925,2.451918
-3.2051811,3.0912416
-3.8565211,2.4485369
-3.7571023,2.6334274
-3.504465,2.3740237
-2.904615,2.7732415
-3.113376,2.9964957
-2.9367878,2.8153348
-2.7881246,2.406119
-2.7866108,2.4073448
-3.915849,1.7286794
-2.9351208,2.8133721
-3.9582202,2.3031595
-2.677739,2.783954
